Genus,species,,type,Synonym,Ensembl,JGI,FungiDB,Other,NCBI,NCBI Tax ID
Aaosphaeria,arxii,,CBS 175.79,,,JGI,,,,1450172
Abortiporus,biennis,,,,,JGI,,,,137743
Absidia,glauca,,,,Ensembl,,,,NCBI,4829
Absidia,repens,,,,,JGI,,,NCBI,90262
Acaromyces,ingoldii,,,,,JGI,,,,215250
Acephala,macrosclerotiorum,,,,,JGI,,,,886606
Acidomyces,richmondensis,,BFW,,Ensembl,JGI,,,NCBI,766039
Acidomyces,richmondensis,,,,Ensembl,,,,NCBI,245562
Acidothrix,acidophila,,CBS 136259,,,JGI,,,,1442179
Acremonium,alcalophilum,,,,,JGI,,,,398408
Acremonium,chrysogenum,,ATCC 11550,,Ensembl,JGI,,,NCBI,857340
Acremonium,strictum,,,,,JGI,,,,5046
Agaricus,bisporus,var. bisporus,H97,,,JGI,,,NCBI,936046
Agaricus,bisporus,var. burnettii,JB137-S8,,Ensembl,JGI,,,NCBI,597362
Agrocybe,pediades,,,,,JGI,,,,84607
Aliquandostipite,khaoyaiensis,,,,,JGI,,,,112102
Allomyces,macrogynus,,ATCC 38327,,Ensembl,JGI,FungiDB,,NCBI,578462
Alternaria,alternata,,,,Ensembl,JGI,,,NCBI,5599
Alternaria,brassicicola,,,,,JGI,,,,29001
Amanita,muscaria,,Koide BX008,,Ensembl,JGI,,,NCBI,946122
Amanita,thiersii,,Skay4041,,,JGI,,,NCBI,703135
Amniculicola,lignicola,,CBS 123094,,,JGI,,,,1392246
Amorphotheca,resinae,,ATCC 22711,,,,,,NCBI,857342
Amorphotheca,resinae,,,,,JGI,,,,5101
Ampelomyces,quisqualis,,,,,JGI,,,,50730
Amphiamblys,sp.,,WSBS2006,,Ensembl,,,,NCBI,1866961
Amylostereum,chailletii,,,,,JGI,,,,55340
Anaeromyces,robustus,,,,,JGI,,,NCBI,1754192
Anncaliia,algerae,,PRA109,,Ensembl,,,,NCBI,1240240
Anncaliia,algerae,,PRA339,,Ensembl,,,,NCBI,1288291
Anomoporia,bombycina,,,,,JGI,,,,264122
Anthostoma,avocetta,,NRRL 3190,,,JGI,,,,1405086
Anthracocystis,flocculosa,,PF-1,,Ensembl,,,,NCBI,1277687
Antonospora,locustae,,HM-2013,,,JGI,,,,1284279
Antrodia,serialis,,,,,JGI,,,,139415
Antrodia,sinuosa,,LB1,,,JGI,,,,1158206
Apiospora,montagnei,,NRRL 25634,,,JGI,,,,1149870
Aplosporella,prunicola,,CBS 121167,,,JGI,,,,1176127
Armillaria,cepistipes,,,,,JGI,,,,47426
Armillaria,gallica,,,,,JGI,,,NCBI,47427
Armillaria,mellea,,DSM 3731,,,JGI,,,,1314977
Armillaria,ostoyae,,,,,JGI,,,NCBI,47428
Armillaria,solidipes,,,,,JGI,,,NCBI,1076256
Arthrobotrys,oligospora,,ATCC 24927,,Ensembl,JGI,,,NCBI,756982
