Genus,species,,type,Ensembl,JGI,NCBI,EuPathDB,Other,NCBI Tax ID
Acanthamoeba,castellanii,str. Neff,,EnsemblProtists,,,EuPathDB,,1257118
Acanthaster,planci,,,,,,,OISTMarine,133434
Achlya,hypogyna,,,,,NCBI,,,1202772
Acropora,digitifera,,,,,NCBI,,OISTMarine,70779
Acytostelium,subglobosum,,,,,NCBI,,,361139
Albugo,candida,,,EnsemblProtists,,,,,65357
Albugo,laibachii,,Nc14,EnsemblProtists,,,,,890382
Amphimedon,queenslandica,,,,,NCBI,,,400682
Angomonas,deanei,,,EnsemblProtists,,,,,59799
Anncaliia,algerae,,PRA109,,,,EuPathDB,,1240240
Anncaliia,algerae,,PRA339,,,,EuPathDB,,1288291
Aphanomyces,astaci,,,EnsemblProtists,,,,,112090
Aphanomyces,invadans,,,EnsemblProtists,,,,,157072
Aplanochytrium,kerguelense,,PBS07,,JGI,,,,702273
Aurantiochytrium,limacinum,,ATCC MYA-1381,,JGI,,,,717989
Aureococcus,anophagefferens,,,EnsemblProtists,JGI,,,,44056
Babesia,bigemina,,,EnsemblProtists,,,,,5866
Babesia,bovis,,,EnsemblProtists,,,EuPathDB,,5865
Babesia,microti,,strain RI,EnsemblProtists,,,EuPathDB,,1133968
Bathycoccus,prasinos,,,,,NCBI,,,41875
Bigelowiella,natans,,CCMP2755,EnsemblProtists,JGI,,,,753081
Bigelowiella,natans,,,EnsemblProtists,,,,,227086
Blastocladiella,emersonii,,,,,,,richardslab,4808
Blastocystis,hominis,,,EnsemblProtists,,,,,12968
Bodo,saltans,,,EnsemblProtists,,,,GeneDB,75058
Bursaphelenchus,xylophilus,,,,,,,GeneDB,6326
Capsaspora,owczarzaki,,ATCC 30864,EnsemblProtists,,,,,595528
Catharanthus,roseus,,,,,,,OrcAE,4058
Cercospora,beticola,,,,,NCBI,,,122368
Chlorell,sp.,,A99,,,,,OISTMarine,2041167
Chromera,velia,,CCMP2878,,,,EuPathDB,,1169474
Chroomonas,mesostigmatica,,CCMP1168,EnsemblProtists,,,,,1195612
Cladosiphon,okamuranus,,,,,,,OISTMarine,309737
Cryptomonas,paramecium,,,EnsemblProtists,,,,,2898
Cryptophyceae,sp.,,CCMP2293,,JGI,,,,3027
Cryptosporidium,andersoni,,,EnsemblProtists,,,EuPathDB,,117008
Cryptosporidium,hominis,,,,,,EuPathDB,,237895
Cryptosporidium,hominis,,TU502,,,,EuPathDB,,353151
Cryptosporidium,muris,,RN66,EnsemblProtists,,,EuPathDB,,441375
Cryptosporidium,parvum,,,EnsemblProtists,,,,,5807
Cryptosporidium,parvum,,Iowa II,EnsemblProtists,,,EuPathDB,,353152
Cryptosporidium,tyzzeri,,,,,,EuPathDB,,756076
Cryptosporidium,ubiquitum,,,EnsemblProtists,,,EuPathDB,,857276
Cyanophora,paradoxa,,,,,,,Rutgers,2762
Cyclospora,cayetanensis,,,EnsemblProtists,,,,,88456
Dictyostelium,discoideum,,AX4,EnsemblProtists,,,,,352472
Dictyostelium,fasciculatum,,,EnsemblProtists,,,,,261658
Dictyostelium,lacteum,,,EnsemblProtists,,,,,361077
Dictyostelium,purpureum,,,EnsemblProtists,JGI,,,,5786
Echinococcus,granulosus,,,,,,,GeneDB,6210
Echinococcus,multilocularis,,,,,,,GeneDB,6211
Ectocarpus,siliculosus,,,,,,,OrcAE,2880
Edhazardia,aedis,,USNM 41457,,,,MicrosporidiaDB,,1003232
Eimeria,acervulina,,,EnsemblProtists,,,,,5801
Eimeria,brunetti,,,EnsemblProtists,,,,,51314
Eimeria,maxima,,,EnsemblProtists,,,,,5804
Eimeria,mitis,,,EnsemblProtists,,,,,44415
Eimeria,necatrix,,,EnsemblProtists,,,,,51315
Eimeria,praecox,,,EnsemblProtists,,,,,51316
Eimeria,tenella,,,EnsemblProtists,,,,,5802
Eimeria,tenella,,strain Houghton,,,,,ToxoDB,413949
Emiliania,huxleyi,,CCMP1516,EnsemblProtists,JGI,,,,280463
Encephalitozoon,cuniculi,,GB-M1,,,,MicrosporidiaDB,,284813
Encephalitozoon,cuniculi,,EC1,,,,MicrosporidiaDB,,986730
Encephalitozoon,cuniculi,,EC2,,,,MicrosporidiaDB,,989654
Encephalitozoon,cuniculi,,EC3,,,,MicrosporidiaDB,,989655
Encephalitozoon,hellem,,ATCC 50504,,,,MicrosporidiaDB,,907965
Encephalitozoon,intestinalis,,ATCC 50506,,,,MicrosporidiaDB,,876142
Encephalitozoon,romaleae,,SJ-2008,,,,MicrosporidiaDB,,1178016
Entamoeba,dispar,,SAW760,EnsemblProtists,,,AmoebaDB,,370354
Entamoeba,histolytica,,HM-1:IMSS,EnsemblProtists,,,,,294381
Entamoeba,histolytica,,,EnsemblProtists,,,,,5759
Entamoeba,histolytica,,HM-1:IMSS-A,EnsemblProtists,,,,,885318
Entamoeba,histolytica,,HM-1:IMSS-B,EnsemblProtists,,,,,885319
Entamoeba,histolytica,,HM-3:IMSS,EnsemblProtists,,,,,885315
Entamoeba,histolytica,,KU27,EnsemblProtists,,,,,885311
Entamoeba,histolytica,,HM-1:IMSS,,,,AmoebaDB,,294381
Entamoeba,histolytica,,HM-1:IMSS-A,,,,AmoebaDB,,885318
Entamoeba,histolytica,,HM-1:IMSS-B,,,,AmoebaDB,,885319
Entamoeba,histolytica,,HM-3:IMSS,,,,AmoebaDB,,885315
Entamoeba,histolytica,,KU27,,,,AmoebaDB,,885311
Entamoeba,invadens,,IP1,EnsemblProtists,,,AmoebaDB,,370355
Entamoeba,moshkovskii,,,,,,AmoebaDB,,41668
Entamoeba,nuttalli,,P19,EnsemblProtists,,,AmoebaDB,,1076696
Enterocytozoon,bieneusi,,H348,,,,MicrosporidiaDB,,481877
Fonticula,alba,,,EnsemblProtists,,,,,691883
Fragilariopsis,cylindrus,,CCMP1102,,JGI,,,,635003
Giardia,intestinalis,,,EnsemblProtists,,,,,5741
Giardia,intestinalis,,ATCC 50581,EnsemblProtists,,,GiardiaDB,,598745
Giardia,intestinalis,,assemblage_B,EnsemblProtists,,,,,1394984
Giardia,lamblia,,ATCC 50803,EnsemblProtists,,,GiardiaDB,,184922
Giardia,lamblia,,P15,EnsemblProtists,,,GiardiaDB,,658858
Globodera,pallida,,,,,,,GeneDB,36090
Gregarina,niphandrodes,,,EnsemblProtists,,,CryptoDB,,110365
Guillardia,theta,,,EnsemblProtists,,,,,55529
Guillardia,theta,,CCMP2712,EnsemblProtists,JGI,,,,905079
Hammondia,hammondi,,,EnsemblProtists,,,,,99158
Hyaloperonospora,arabidopsidis,,Emoy2,EnsemblProtists,,,,,559515
Hymenolepis,microstoma,,,,,,,GeneDB,85433
Hyphochytrium,catenoides,,,,,,,richardslab,42384
Ichthyophthirius,multifiliis,,,EnsemblProtists,,,,,5932
Leishmania,aethiopica,,L147,,,,TriTrypDB,,1206056
Leishmania,braziliensis,,MHOM/BR/75/M2904,EnsemblProtists,,,TriTrypDB,,420245
Leishmania,braziliensis,,MHOM/BR/75/M2903,,,,TriTrypDB,,1295825
Leishmania,donovani,,BPK282A1,EnsemblProtists,,,TriTrypDB,,981087
Leishmania,infantum,,JPCM5,EnsemblProtists,,,TriTrypDB,,435258
Leishmania,major,,strain Friedlin,EnsemblProtists,,,TriTrypDB,,347515
Leishmania,major,,strain LV39c5,,,,TriTrypDB,,860569
Leishmania,major,,strain SD 75.1,,,,TriTrypDB,,860570
Leishmania,mexicana,,MHOM/GT/2001/U1103,EnsemblProtists,,,TriTrypDB,,929439
Leishmania,panamensis,,,EnsemblProtists,,,,,5679
Leishmania,panamensis,,MHOM/COL/81/L13,,,,TriTrypDB,,1295824
Leishmania,sp.,,MAR LEM2494,,,,TriTrypDB,,1303197
Leishmania,tropica,,L590,,,,TriTrypDB,,1206058
Leptomonas,pyrrhocoris,,,EnsemblProtists,,,,,157538
Leptomonas,seymouri,,,EnsemblProtists,,,,,5684
Lingula,anatina,,,,,,,OISTMarine,7574
Lotharella,oceanica,,,EnsemblProtists,,,,,641309
Monosiga,brevicollis,,MX1,EnsemblProtists,JGI,,,,431895
Naegleria,fowleri,,,,,,AmoebaDB,,5763
Naegleria,gruberi,,,EnsemblProtists,JGI,,,,5762
